column,definition,focal_missing_count,rest_missing_count,focal_rate,rest_rate,rate_difference,difference_ci95_lower,difference_ci95_upper,binary_smd,z_statistic,p_value,bh_q_value,material_effect
rx_summ_surgradseq,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
reason_nocancer_directed_surgery,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
radiation_recode,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
cs_tumor_size20042015,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
cs_extension20042015,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
derived_eod_composite_stage,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
histology_family,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
seer_combined_metsatdxlung2010,physical_na,6,68,0.0032948929159802307,0.0030659632986158075,0.00022892961736442315,-0.002501905548799055,0.002959764783527901,0.004065854285830583,0.1693880028449192,0.8654914594942971,1.0,False
seer_combined_metsatdxbrain2010,physical_na,6,63,0.0032948929159802307,0.00284052482077641,0.00045436809520382065,-0.0022693505745929187,0.00317808676500056,0.008216211128835204,0.3481243759209264,0.7277467786133158,1.0,False
rx_summ_surgradseq,semantic_unavailable,1517,20087,0.8330587589236683,0.905676540871996,-0.07261778194832769,-0.0901729533983405,-0.05506261049831487,-0.21674612671801616,-9.937200731354732,2.8677245162038764e-23,1.0037035806713568e-21,True
regional_nodes_positive,semantic_unavailable,1104,15307,0.6062602965403624,0.6901573560575319,-0.08389705951716953,-0.10714832636792751,-0.060645792666411534,-0.17637172665073889,-7.401479058476842,1.346759196457275e-13,2.3568285938002314e-12,True
diagnostic_confirmation,semantic_unavailable,20,800,0.010982976386600769,0.03607015645430362,-0.02508718006770285,-0.03046655195721116,-0.019707808178194543,-0.16608664260279674,-5.6652591286170235,1.4680251309209563e-08,7.340125654604782e-08,True
rx_summ_scope_reglnsur2003,semantic_unavailable,1161,15802,0.6375617792421746,0.7124757653636322,-0.07491398612145761,-0.09778240110684423,-0.05204557113607099,-0.16046086305920115,-6.750708788753113,1.471246336556817e-11,1.7164540593162866e-10,True
seer_combined_metsatdxbrain2010,semantic_unavailable,63,1531,0.03459637561779242,0.06902926191442356,-0.03443288629663114,-0.04346565921655078,-0.025400113376711494,-0.155819520384521,-5.672554515558786,1.4068372966893203e-08,7.340125654604782e-08,True
seer_combined_metsatdxbone2010,semantic_unavailable,62,1496,0.034047226798462386,0.06745119256954778,-0.03340396577108539,-0.042363652650420934,-0.024444278891749847,-0.15263494645802225,-5.561796551963498,2.670114687409693e-08,1.1681751757417407e-07,True
seer_combined_metsatdxliver2010,semantic_unavailable,63,1503,0.03459637561779242,0.06776680643852293,-0.033170430820730505,-0.042192749320009715,-0.024148112321451295,-0.15095105450627702,-5.509769743319334,3.593033936490083e-08,1.397290975301699e-07,True
radiation_recode,semantic_unavailable,959,13290,0.5266337177375069,0.599215474097119,-0.07258175635961206,-0.09640408345947227,-0.04875942925975185,-0.14672011695785353,-6.062367726907559,1.3413210855417008e-09,1.1736559498489882e-08,True
seer_combined_metsatdxlung2010,semantic_unavailable,72,1618,0.039538714991762765,0.07295189142882907,-0.03341317643706631,-0.04299583788185746,-0.023830514992275162,-0.14540852449309136,-5.357426243333865,8.441581011983735e-08,2.9545533541943075e-07,True
summary_stage,semantic_unavailable,848,11904,0.4656781987918726,0.5367239280400379,-0.07104572924816527,-0.094878187367847,-0.04721327112848353,-0.14245183785040333,-5.840402050601991,5.207499517457538e-09,3.645249662220277e-08,True
rx_summ_surgothregdis2003,semantic_unavailable,22,734,0.012081274025260845,0.03309436854682357,-0.021013094521562727,-0.026555783315703668,-0.015470405727421786,-0.14177590362867454,-4.935205680923557,8.006633678900436e-07,2.5475652614683208e-06,True
reason_nocancer_directed_surgery,semantic_unavailable,48,1116,0.026359143327841845,0.05031786825375355,-0.023958724925911702,-0.031859275876809784,-0.01605817397501362,-0.1250206795564415,-4.575186143579935,4.757967572477866e-06,1.387740541972711e-05,True
rx_summ_surgprim_site19982022,semantic_unavailable,74,1503,0.040637012630422846,0.06776680643852293,-0.02712979380810008,-0.036783129586877676,-0.017476458029322482,-0.12003856920445656,-4.491747783136386,7.064105116061476e-06,1.7660262790153692e-05,True
derived_eod2018m_recode2018,semantic_unavailable,1051,11690,0.5771554091158704,0.5270751611885116,0.05008024792735877,0.02645781458366158,0.07370268127105595,0.10083696300624544,4.116673056837209,3.84380734083761e-05,8.968883795287756e-05,True
rx_summ_surgprim_site20232023,semantic_unavailable,1747,20676,0.9593629873695771,0.932233193561477,0.0271297938081001,0.017476458029322503,0.0367831295868777,0.12003856920445663,4.491747783136388,7.06410511606141e-06,1.7660262790153692e-05,True
cs_extension20042015,semantic_unavailable,1300,16627,0.7138934651290499,0.7496731142071329,-0.035779649078082953,-0.05730618962477593,-0.014253108531389974,-0.0808269671616573,-3.376075895407592,0.0007352763348906142,0.0016084169825732186,False
cs_tumor_size20042015,semantic_unavailable,1346,16937,0.7391543108182317,0.7636502998331756,-0.024495989014943875,-0.04542458302818295,-0.0035673950017048074,-0.05670020457249961,-2.358949952953872,0.018326727181596354,0.03582350054927049,False
grade_recode_thru2017,semantic_unavailable,1433,17921,0.7869302580999451,0.808016592271969,-0.02108633417202388,-0.04059504137951628,-0.0015776269645314846,-0.05248696590055937,-2.189312153546687,0.02857415960523042,0.05263660979910867,False
derived_eod_composite_stage,semantic_unavailable,51,703,0.02800658978583196,0.031696649984219304,-0.0036900601983873432,-0.011611196126169789,0.004231075729395102,-0.021684826122033554,-0.8677712064544341,0.3855195957011309,0.6133266295245264,False
race,semantic_unavailable,4,65,0.002196595277320154,0.0029307002119121693,-0.0007341049345920155,-0.0029990367880980404,0.0015308269189140094,-0.014517699842797153,-0.5624510719677154,0.573808730695829,0.8731871988849573,False
marital_status_at_diagnosis,semantic_unavailable,75,947,0.04118616144975288,0.04269804770278191,-0.0015118862530290322,-0.011019152489770744,0.00799537998371268,-0.007542255142072282,-0.30716316362297874,0.7587191822247707,1.0,False
sex,semantic_unavailable,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
year_of_diagnosis,semantic_unavailable,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
regional_nodes_examined,semantic_unavailable,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
origin,semantic_unavailable,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
primary_site,semantic_unavailable,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
sequence_number,semantic_unavailable,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
site_recode_icdo3_who2008,semantic_unavailable,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
histologic_type_icdo3,semantic_unavailable,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
laterality,semantic_unavailable,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
histology_family,semantic_unavailable,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
tumor_size_overtime,semantic_unavailable,404,4879,0.22185612300933552,0.2199828666756842,0.0018732563336513186,-0.01797405077297452,0.021720563440277157,0.0045153365624778135,0.18546858489309104,0.8528615183975596,1.0,False
tumor_size_summary,semantic_unavailable,838,9856,0.4601867105985722,0.4443843275170206,0.015802383081551574,-0.008005704980653366,0.039610471143756515,0.03175366530167132,1.3042483937382403,0.19214890454194333,0.32024817423657226,False
derived_eod2018n_recode2018,semantic_unavailable,1115,13166,0.6123009335529929,0.5936245998467018,0.01867633370629107,-0.0046170371928064835,0.041969704605388625,0.038177709624854665,1.560749120297702,0.11858295654968698,0.2075201739619522,False
derived_eod2018t_recode2018,semantic_unavailable,1177,13717,0.6463481603514553,0.6184679201046035,0.027880240246851762,0.005009065168769734,0.05075141532493379,0.057849074370055334,2.356994604016036,0.018423514568196252,0.03582350054927049,False
